variable_key,source,raw_field_or_file,unit,reference_year_role,use_in_vulnerability_score,notes
undernourishment_rate,FAO FAOSTAT / fao_data.csv,value,percent latest year,Per-country latest FAO year in merge,Undernourishment score (max 25 pts); proxy path uses poverty if NA,Interval-censored when FAO reports <2.5; see undernourishment_interval_censored
undernourishment_interval_censored,Derived from FAO raw Value,logical,NA,Same as PoU,Metadata only; TRUE when original FAO value was <2.5 string,Does not change score; documents censoring
poverty,World Bank WDI,SI.POV.DDAY,percent,WB latest year in hunger_summary,Poverty + undernourishment proxy components,
poverty_below_3usd,OWID,poverty data.csv,percent,OWID latest,Coalesced into poverty_display for poverty_score,
gdp_per_capita,World Bank WDI,NY.GDP.PCAP.CD,current US$,WB latest,GDP tier score (max 7),
life_expectancy,World Bank WDI,SP.DYN.LE00.IN,years,WB latest,Life expectancy score (max 5),
stunting_rate,WHO GHO,child_stunting_data.csv,percent children under 5,WHO latest,Stunting score (max 5),
climate_vulnerability_index,ND-GAIN-style CSV,vulnerability.csv,index 0-100,Panel year in file,Climate score (max 10),
has_active_conflict,ACLED,fatalities per country.xlsx,logical derived,Annual ACLED rollup,Conflict score with intensity,
conflict_intensity,ACLED-derived,categorical,NA,Same,Bucketed conflict score (max 10),
major_hunger_outbreak_21st,Historical list,historical_hunger_outbreaks.csv,logical,NA,Outbreak score component,
grfc_ipc_phase,WFP GRFC / IPC supplements,ipc_phase,numeric 1-5,GRFC or IPC assessment year,Outbreak score when phase 3+,
grfc_population_phase3_plus,WFP/IPC,population,people,Same,Population in crisis phases where available,
grfc_latest_year,WFP GRFC panel,year,NA,Coverage flag,Metadata; coverage_wfp_grfc,
ipc_latest_year,IPC historical,assessment_year,NA,Coverage flag,Metadata; coverage_ipc_historical,
avg_import_share,Food trade dependency,data overview.csv,share 0-1,Importer-level rollup,Trade dependency score (max 5),
food_supply_kcal,OWID,food supply data.csv,kcal/cap/day,OWID latest,Food supply score (max 5),
water_per_capita,OWID,renewable-water-resources-per-capita.csv,m3 per capita per year,OWID latest,Water stress score (max 5),
total_displaced_latest,UNHCR,persons_of_concern.csv,persons,Country of asylum latest,Displacement score (max 5),unhcr_metric_scope: asylum country not origin
idu_displacement_total,HDX IDU,aggregated events,persons summed,Event dates,IDU used where configured in score,
total_fatalities,ACLED,fatalities,annual count,ACLED year,Feeds conflict intensity,
literacy,World Bank WDI,SE.ADT.LITR.ZS,percent adults,WB latest,Display / missing-data diagnostics,
infant_mortality,World Bank WDI,SP.DYN.IMRT.IN,per 1000 births,WB latest,Display,
population,World Bank WDI,SP.POP.TOTL,persons,WB latest,Displacement rate denominator,
iso3c,World Bank + fallback,iso3c,code,Backbone,Join key / map,
ghi_score,GHI xlsx,GHI 2025,index,2025 where present,Comparison charts not core 0-100 formula unless merged,
hunger_vulnerability_rating,Derived,sum of weighted components,index 0-100,Cross-section synthetic latest,Main dashboard score,
coverage_wfp_grfc,Derived from merge,!is.na(grfc_latest_year),logical before year pmax,Metadata; TRUE if WFP/GRFC year present,
coverage_ipc_historical,Derived from merge,!is.na(ipc_latest_year),logical,Metadata; TRUE if IPC historical assessment year present,
unhcr_metric_scope,UNHCR import logic,constant string,text,When refugee_data loaded,Explains PoC totals are asylum/host state,
undernourishment_interval_censored,FAO raw Value or simulated,FALSE in simulated CSV,logical,Same row as PoU,TRUE when FAO reported <2.5 in bulk extract,
